compound_id,name,smiles
0,benzene,c1ccccc1
1,heptane,CCCCCCC
2,ethanol,CCO
3,pentan-1-ol,CCCCCO
4,propan-1-ol,CCCO
5,2-methylbutan-1-ol,CCC(C)CO
6,oxolane,C1CCOC1
7,"2,5-dimethylfuran",Cc1ccc(C)o1
8,hexane,CCCCCC
9,"2,2-dimethylbutane",CCC(C)(C)C
10,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C
11,propylcyclohexane,CCCC1CCCCC1
12,cyclopentene,C1=CCCC1
13,1-methylcyclopentene,CC1=CCCC1
14,cyclohexene,C1=CCCCC1
15,toluene,Cc1ccccc1
16,"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1
17,ethylbenzene,CCc1ccccc1
18,"1,2,3,4-tetrahydronaphthalene",c1ccc2c(c1)CCCC2
19,"1,4-xylene",Cc1ccc(C)cc1
20,heptan-2-one,CCCCCC(C)=O
21,butan-2-one,CCC(C)=O
22,cycloheptane,C1CCCCCC1
23,"1,3-diethylbenzene",CCc1cccc(CC)c1
24,butylbenzene,CCCCc1ccccc1
25,4-methylhex-1-ene,C=CCC(C)CC
26,"2,2,3-trimethylbutane",CC(C)C(C)(C)C
27,2-methylpropyl acetate,CC(=O)OCC(C)C
28,"2,4-dimethylhexane",CCC(C)CC(C)C
29,4-methylheptane,CCCC(C)CCC
30,hexan-1-ol,CCCCCCO
31,"2,3-dimethylbut-2-ene",CC(C)=C(C)C
32,1-methylcyclohexene,CC1=CCCCC1
33,"1,4-diethylbenzene",CCc1ccc(CC)cc1
34,"1-methylcyclohexa-1,4-diene",CC1=CCC=CC1
35,"cyclohexa-1,4-diene",C1=CCC=CC1
36,2-methylhept-2-ene,CCCCC=C(C)C
37,oct-1-yne,C#CCCCCCC
38,2-methylpropylbenzene,CC(C)Cc1ccccc1
39,[(E)-prop-1-enyl]benzene,C/C=C/c1ccccc1
40,propylbenzene,CCCc1ccccc1
41,2-methylpentanal,CCCC(C)C=O
42,3-methylpent-1-ene,C=CC(C)CC
43,"1,2-xylene",Cc1ccccc1C
44,"2,5-dimethyloxolane",CC1CCC(C)O1
45,2-methylhex-1-ene,C=C(C)CCCC
46,heptan-4-one,CCCC(=O)CCC
47,1-ethyl-2-methylbenzene,CCc1ccccc1C
48,"2,4,4-trimethylpent-1-ene",C=C(C)CC(C)(C)C
49,3-methylbutyl acetate,CC(=O)OCCC(C)C
50,2-methylfuran,Cc1ccco1
51,"1,1-dimethylcyclohexane",CC1(C)CCCCC1
52,oct-1-ene,C=CCCCCCC
53,"2,3-dihydro-1H-indene",c1ccc2c(c1)CCC2
54,"1,2,3-trimethylbenzene",Cc1cccc(C)c1C
55,2-methoxy-2-methylpropane,COC(C)(C)C
56,1-methyl-4-propan-2-ylbenzene,Cc1ccc(C(C)C)cc1
57,"2,4-dimethylpentane",CC(C)CC(C)C
58,ethyl pentanoate,CCCCC(=O)OCC
59,propan-2-one,CC(C)=O
