value,error,Train_Test_Label,cmp_ids,cmp_mole_fractions,property,unit
115.0,24.3025,test,[0],[1.0],Motor octane number,
0.0,10.666,train,[1],[1.0],Motor octane number,
90.0,12.8677,test,[2],[1.0],Motor octane number,
74.0,10.4218,train,[3],[1.0],Motor octane number,
98.0,8.5415,test,[4],[1.0],Motor octane number,
88.0,9.4757,train,[5],[1.0],Motor octane number,
65.0,9.3905,train,[6],[1.0],Motor octane number,
88.0,8.9626,train,[7],[1.0],Motor octane number,
26.0,19.743,train,[8],[1.0],Motor octane number,
93.0,8.7664,train,[9],[1.0],Motor octane number,
100.0,13.3968,train,[10],[1.0],Motor octane number,
14.0,6.3962,train,[11],[1.0],Motor octane number,
70.0,10.1177,train,[12],[1.0],Motor octane number,
73.0,8.7952,train,[13],[1.0],Motor octane number,
63.0,8.7853,test,[14],[1.0],Motor octane number,
104.0,10.2633,train,[15],[1.0],Motor octane number,
108.0,11.7466,test,[16],[1.0],Motor octane number,
98.0,11.4636,train,[17],[1.0],Motor octane number,
82.0,8.528,train,[18],[1.0],Motor octane number,
101.0,12.6106,train,[19],[1.0],Motor octane number,
78.1,14.7157,test,[20],[1.0],Motor octane number,
106.0,12.5459,train,[21],[1.0],Motor octane number,
40.0,11.0809,train,[22],[1.0],Motor octane number,
97.0,10.1802,train,[23],[1.0],Motor octane number,
94.0,17.3525,train,[24],[1.0],Motor octane number,
74.0,4.5362,train,[25],[1.0],Motor octane number,
101.0,12.8635,test,[26],[1.0],Motor octane number,
112.0,9.4105,test,[27],[1.0],Motor octane number,
70.0,9.053,train,[28],[1.0],Motor octane number,
39.0,9.7153,train,[29],[1.0],Motor octane number,
78.0,27.1716,train,[30],[1.0],Motor octane number,
81.0,6.6564,train,[31],[1.0],Motor octane number,
72.0,9.2522,train,[32],[1.0],Motor octane number,
95.0,11.6848,train,[33],[1.0],Motor octane number,
42.0,11.5561,train,[34],[1.0],Motor octane number,
40.0,12.797,train,[35],[1.0],Motor octane number,
73.0,8.8738,train,[36],[1.0],Motor octane number,
52.0,34.1698,train,[37],[1.0],Motor octane number,
98.0,10.0484,train,[38],[1.0],Motor octane number,
92.0,8.772,train,[39],[1.0],Motor octane number,
99.0,12.97,test,[40],[1.0],Motor octane number,
94.0,16.0463,train,[41],[1.0],Motor octane number,
81.0,10.7498,train,[42],[1.0],Motor octane number,
100.0,15.9487,test,[43],[1.0],Motor octane number,
80.0,14.0408,train,[44],[1.0],Motor octane number,
79.0,11.4458,train,[45],[1.0],Motor octane number,
89.1,5.8543,train,[46],[1.0],Motor octane number,
92.0,12.1,train,[47],[1.0],Motor octane number,
87.0,6.2064,train,[48],[1.0],Motor octane number,
97.2,12.1789,train,[49],[1.0],Motor octane number,
86.0,8.1238,train,[50],[1.0],Motor octane number,
86.0,10.3797,train,[51],[1.0],Motor octane number,
35.0,23.4152,train,[52],[1.0],Motor octane number,
90.0,9.9359,train,[53],[1.0],Motor octane number,
101.0,15.643,train,[54],[1.0],Motor octane number,
101.0,12.9398,test,[55],[1.0],Motor octane number,
97.7,10.4404,train,[56],[1.0],Motor octane number,
84.0,10.189,train,[57],[1.0],Motor octane number,
92.0,9.7467,train,[58],[1.0],Motor octane number,
100.0,11.9685,test,[59],[1.0],Motor octane number,
80.0,16.843,test,[60],[1.0],Motor octane number,
53.0,9.2329,train,[61],[1.0],Motor octane number,
81.0,8.8102,train,[62],[1.0],Motor octane number,
35.0,9.8041,train,[63],[1.0],Motor octane number,
88.0,16.1312,train,[64],[1.0],Motor octane number,
95.0,10.1352,train,[65],[1.0],Motor octane number,
89.0,12.5759,train,[66],[1.0],Motor octane number,
86.0,6.3152,train,[67],[1.0],Motor octane number,
96.0,9.9363,train,[68],[1.0],Motor octane number,
97.0,9.566,train,[69],[1.0],Motor octane number,
51.0,6.8574,train,[70],[1.0],Motor octane number,
84.0,11.4361,train,[71],[1.0],Motor octane number,
91.0,7.9445,train,[72],[1.0],Motor octane number,
105.0,13.9137,train,[73],[1.0],Motor octane number,
102.0,10.3522,train,[74],[1.0],Motor octane number,
106.0,11.2489,train,[75],[1.0],Motor octane number,
101.0,7.1155,train,[76],[1.0],Motor octane number,
103.0,10.6371,train,[77],[1.0],Motor octane number,
102.0,13.9725,train,[78],[1.0],Motor octane number,
103.0,8.6233,test,[79],[1.0],Motor octane number,
70.6,15.6767,train,[80],[1.0],Motor octane number,
85.0,17.3668,train,[81],[1.0],Motor octane number,
46.0,14.9666,test,[82],[1.0],Motor octane number,
92.0,6.6198,train,[83],[1.0],Motor octane number,
63.0,6.9778,train,[84],[1.0],Motor octane number,
106.0,13.3138,train,[85],[1.0],Motor octane number,
74.0,13.1817,train,[86],[1.0],Motor octane number,
0.0,14.7059,train,[87],[1.0],Motor octane number,
100.0,13.5434,train,[88],[1.0],Motor octane number,
84.0,11.5865,train,[89],[1.0],Motor octane number,
82.0,19.7645,train,[90],[1.0],Motor octane number,
91.0,6.7536,train,[91],[1.0],Motor octane number,
120.0,14.4458,train,[92],[1.0],Motor octane number,
120.0,16.9204,train,[93],[1.0],Motor octane number,
73.0,10.2646,train,[94],[1.0],Motor octane number,
79.0,9.9478,train,[95],[1.0],Motor octane number,
100.0,6.2943,train,[96],[1.0],Motor octane number,
99.0,8.9736,train,[97],[1.0],Motor octane number,
58.0,11.2346,train,[98],[1.0],Motor octane number,
77.0,17.2622,train,[99],[1.0],Motor octane number,
101.0,11.9191,train,[100],[1.0],Motor octane number,
81.0,7.6537,train,[101],[1.0],Motor octane number,
80.0,6.9008,train,[102],[1.0],Motor octane number,
96.0,21.9431,train,[103],[1.0],Motor octane number,
35.0,7.5364,train,[104],[1.0],Motor octane number,
91.0,12.816,train,[105],[1.0],Motor octane number,
81.0,9.8982,train,[106],[1.0],Motor octane number,
56.0,21.9671,train,[107],[1.0],Motor octane number,
96.7,13.2194,test,[108],[1.0],Motor octane number,
120.0,14.8584,train,[109],[1.0],Motor octane number,
77.0,14.4103,train,[110],[1.0],Motor octane number,
74.0,11.8917,train,[111],[1.0],Motor octane number,
41.0,14.3924,train,[112],[1.0],Motor octane number,
102.0,10.9107,train,[113],[1.0],Motor octane number,
63.0,13.7628,train,[114],[1.0],Motor octane number,
93.0,7.2428,test,[115],[1.0],Motor octane number,
90.0,8.2933,train,[116],[1.0],Motor octane number,
71.0,13.6627,train,[117],[1.0],Motor octane number,
100.0,14.3036,train,[118],[1.0],Motor octane number,
87.0,8.7601,train,[119],[1.0],Motor octane number,
61.0,10.1533,train,[120],[1.0],Motor octane number,
96.0,16.7145,train,[121],[1.0],Motor octane number,
96.0,10.5041,train,[122],[1.0],Motor octane number,
110.0,13.3225,test,[123],[1.0],Motor octane number,
66.0,11.3045,train,[124],[1.0],Motor octane number,
83.0,11.4646,train,[125],[1.0],Motor octane number,
92.0,9.729,test,[126],[1.0],Motor octane number,
56.0,11.2716,train,[127],[1.0],Motor octane number,
93.0,9.44,train,[128],[1.0],Motor octane number,
61.0,25.4327,train,[129],[1.0],Motor octane number,
23.0,9.3537,train,[130],[1.0],Motor octane number,
67.0,6.488,train,[131],[1.0],Motor octane number,
89.0,6.9803,train,[132],[1.0],Motor octane number,
81.0,12.7392,train,[133],[1.0],Motor octane number,
71.0,8.1109,test,[134],[1.0],Motor octane number,
72.0,7.9671,train,[135],[1.0],Motor octane number,
38.0,18.4993,train,[136],[1.0],Motor octane number,
73.0,12.7091,test,[137],[1.0],Motor octane number,
81.0,6.798,train,[138],[1.0],Motor octane number,
64.0,13.0504,train,[139],[1.0],Motor octane number,
56.0,8.5234,train,[140],[1.0],Motor octane number,
79.0,6.5723,test,[141],[1.0],Motor octane number,
89.0,9.9535,train,[142],[1.0],Motor octane number,
89.0,5.2752,test,[143],[1.0],Motor octane number,
84.0,9.4447,train,[144],[1.0],Motor octane number,
92.0,6.5726,train,[145],[1.0],Motor octane number,
57.0,15.0069,train,[146],[1.0],Motor octane number,
98.0,13.1585,train,[147],[1.0],Motor octane number,
79.0,10.2655,train,[148],[1.0],Motor octane number,
97.0,14.2265,test,[149],[1.0],Motor octane number,
85.0,14.427,train,[150],[1.0],Motor octane number,
83.0,10.6503,train,[151],[1.0],Motor octane number,
64.5,6.9778,train,[84],[1.0],Motor octane number,
69.0,7.3972,train,[152],[1.0],Motor octane number,
112.0,13.3992,train,[153],[1.0],Motor octane number,
97.0,11.2849,train,[154],[1.0],Motor octane number,
92.0,13.6915,train,[155],[1.0],Motor octane number,
88.0,12.9868,train,[156],[1.0],Motor octane number,
76.0,11.2569,train,[157],[1.0],Motor octane number,
49.0,13.0504,train,[158],[1.0],Motor octane number,
92.0,12.6572,train,[159],[1.0],Motor octane number,
66.0,8.9202,train,[160],[1.0],Motor octane number,
77.0,8.1125,train,[161],[1.0],Motor octane number,
50.0,8.7854,test,[162],[1.0],Motor octane number,
101.0,18.4594,train,[163],[1.0],Motor octane number,
92.0,13.5356,train,[164],[1.0],Motor octane number,
25.0,23.6526,train,[165],[1.0],Motor octane number,
86.0,11.7157,train,[166],[1.0],Motor octane number,
49.0,14.5443,train,[167],[1.0],Motor octane number,
82.0,4.3154,train,[168],[1.0],Motor octane number,
84.0,13.162,train,[169],[1.0],Motor octane number,
61.0,10.4156,train,[170],[1.0],Motor octane number,
72.0,11.2394,test,[171],[1.0],Motor octane number,
86.0,5.9749,test,[172],[1.0],Motor octane number,
98.0,14.0361,test,[173],[1.0],Motor octane number,
82.0,7.9405,train,[174],[1.0],Motor octane number,
86.0,15.9112,train,[175],[1.0],Motor octane number,
64.0,12.6117,train,[176],[1.0],Motor octane number,
71.0,9.8738,train,[177],[1.0],Motor octane number,
79.0,8.7908,train,[178],[1.0],Motor octane number,
84.0,9.304,train,[179],[1.0],Motor octane number,
85.0,10.016,train,[180],[1.0],Motor octane number,
-2.0,10.3011,train,[181],[1.0],Motor octane number,
81.0,7.3424,train,[182],[1.0],Motor octane number,
85.0,7.266,test,[183],[1.0],Motor octane number,
10.0,27.7891,train,[184],[1.0],Motor octane number,
81.0,15.882,train,[185],[1.0],Motor octane number,
60.0,9.8799,train,[186],[1.0],Motor octane number,
73.0,4.9423,train,[187],[1.0],Motor octane number,
69.0,10.3727,train,[188],[1.0],Motor octane number,
90.7,8.2492,train,[189],[1.0],Motor octane number,
83.0,12.4371,train,[190],[1.0],Motor octane number,
91.0,7.5726,train,[191],[1.0],Motor octane number,
95.0,10.7293,train,[192],[1.0],Motor octane number,
54.0,11.3848,train,[193],[1.0],Motor octane number,
39.0,7.2934,train,[194],[1.0],Motor octane number,
79.0,14.5603,train,[195],[1.0],Motor octane number,
96.0,13.3491,train,[196],[1.0],Motor octane number,
