compound_id,name,smiles,salt
0,.gamma.-butyrolactone,O=C1CCCO1,0
1,water,O,0
2,"N,N,N-trimethyl-1-hexadecanaminium bromide",CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1
3,propylene carbonate,CC1COC(=O)O1,0
4,sodium trifluoromethanesulfonate,O=S(=O)([O-])C(F)(F)F.[Na+],1
5,sodium dodecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1
6,(2-hydroxyethyl)trimethylammonium perfluorooctanoate,C[N+](C)(C)CCO.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
7,ephedrine hydrochloride,C[NH2+][C@H](C)[C@@H](O)c1ccccc1.[Cl-],1
8,dodecyltrimethylammonium bromide,CCCCCCCCCCCC[N+](C)(C)C.[Br-],1
9,potassium bis(fluorosulfonyl)amide,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],1
10,1-ethyl-3-methylimidazolium acetate,CC(=O)[O-].CC[n+]1ccn(C)c1,1
11,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1
12,1-butylpyridinium dicyanamide,CCCC[n+]1ccccc1.N#C[N-]C#N,1
13,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
14,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",CC[N+](C)(CC)CCOC.F[B-](F)(F)F,1
15,2-aminoethan-1-ol,NCCO,0
16,butyldimethyl(ferrocenylmethyl)ammonium bis(trifluoromethanesulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[N+](C[c-]1cccc1)(C)C.[cH-]1cccc1.[Fe+2],1
17,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,[S-]C#N.COCCN1C=[N+](C=C1)C,1
18,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C[n+]1ccn(CCCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
19,3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,C[n+]1ccn(CCCC#N)c1.O=S(=O)([O-])C(F)(F)F,1
20,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,1
