compound_id,smiles,salt
0,B(Br)(Br)Br,0
1,BrBr,0
2,BrC(Br)(Br)Br,0
3,BrC(Br)Br,0
4,BrC(Br)C(Br)Br,0
5,BrC(Cl)(Cl)Cl,0
6,BrC(F)(F)C(F)(F)Br,0
7,BrCBr,0
8,BrCC(Br)C,0
9,BrCCBr,0
10,BrCCCBr,0
11,BrCCl,0
12,Brc1ccccc1,0
13,C#CC(C)C,0
14,C#CCC=C,0
15,C#CCCC,0
16,C#CCCCC,0
17,C#CCCCCC,0
18,C#CCCCCCC,0
19,C#CCCCCCCC,0
20,C#CCCCCCCCC,0
21,C#CCCl,0
22,C#CCO,0
23,C#Cc1ccccc1,0
24,C#N,0
25,C(=CCCC1)(C1)C,0
26,C(=O)OCC(C)C,0
27,C(Br)C(Br)CCCCCCCCCC,0
28,C(C#C)(C)(C)C,0
29,C(C(C)=O)C,0
30,C(C(C)=O)C(C)(O)C,0
31,C(C(C)C)C(=O)CC(C)C,0
32,C(C(C)C)C(C)=O,0
33,C(C(C)C)C(C)O,0
34,C(C(C)C)COC(=O)C,0
35,C(C(CC)CO)C,0
36,C(C(CO)CC)CCC,0
37,C(C(O)=O)CC,0
38,C(C)(C)(C)C(=O)OCC,0
39,C(C)(Cl)(C)C,0
40,C(C)CCCC,0
41,C(C)CCOC(C)=O,0
42,C(C)CCOCCOCCO,0
43,C(C)O,0
44,C(C)OCCO,0
45,C(CC(C)=O)C(C)C,0
46,C(CC1)CC1C(C)C,0
47,C(CC1)CC1CC(C)C,0
48,C(CCC1)(C1)C,0
49,C(CCC1CC(C)C)CC1,0
50,C(CCCC1)(C1)C,0
51,C(CCCC1)(C1)C(C)C,0
52,C(CCCC1)(C1)CCCC,0
53,C(CCCC1)(C1)CCCCC,0
54,C(CCC\C=C/CCCCCC)CCCC(OC)=O,0
55,C(CCO)C,0
56,C(CCO)CC,0
57,C(CO)C,0
58,C(CO)O,0
59,C(C\C(=C\C(C)(C)C)C)(C)(C)C,0
60,C(Cl)(C)C,0
61,C(Cl)(Cl)(Cl)C,0
62,C(Cl)(Cl)(Cl)C(Cl),0
63,C(Cl)(Cl)(Cl)C=O,0
64,C(Cl)(Cl)(Cl)Cl,0
65,C(Cl)(Cl)(F)C,0
66,C(Cl)(Cl)=C(Cl)C(Cl)=C(Cl)(Cl),0
67,C(Cl)(Cl)=C(Cl)Cl,0
68,C(Cl)(Cl)C(Cl)(Cl),0
69,C(Cl)(Cl)CCl,0
70,C(Cl)(Cl)Cl,0
71,C(Cl)/C=C/Cl,0
72,C(Cl)/C=C\Cl,0
73,C(Cl)=C(Cl)Cl,0
74,C(Cl)C(Cl)C,0
75,C(Cl)C(Cl)C(Cl),0
76,C(Cl)C(Cl)CC,0
77,C(Cl)CC[Si](Cl)(Cl)Cl,0
78,C(F)(F)(F)C(F)(F)C(F)(F)C(=O)O,0
79,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F),0
80,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F),0
81,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F),0
82,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F),0
83,C(F)(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)(F),0
84,C(F)(F)C(F)(F)C(F),0
85,C(O)C(c1ccccc1)C,0
86,C(O)CC(c1ccccc1),0
87,C(O)COCCO,0
88,C(OC(C)=O)C,0
89,C(OC(C)=O)COCC,0
90,C(OC)CO,0
91,C(OC)OC,0
92,C(OCC)C,0
93,C(OCCO)CCC,0
94,C(c1ccccc1)C(O)C,0
95,C(c1ccccc1)CO,0
96,C/C(c1ccccc1)=C/C,0
97,C/C(c1ccccc1)=C\C,0
98,C/C1=C\CC/C(C)=C/CC(C)(C)/C=C/C1,0
99,C/C=C(C)/CC,0
100,C/C=C(C)\CC,0
101,C/C=C/C#N,0
102,C/C=C/C(=O)OCC,0
103,C/C=C/C(C)C,0
104,C/C=C/C=C/C,0
105,C/C=C/C=C\C,0
106,C/C=C/C=O,0
107,C/C=C/CC,0
108,C/C=C/CCC,0
109,C/C=C/CCCC,0
110,C/C=C/CCCCCC,0
111,C/C=C/CCCCCCC,0
112,C/C=C/CCCCCCCCC,0
113,C/C=C/CCCCCCCCCCCC,0
114,C/C=C\C#N,0
115,C/C=C\C(C)C,0
116,C/C=C\C=O,0
117,C/C=C\CC,0
118,C/C=C\CCC,0
119,C/C=C\CCCC,0
120,C/C=C\CCCCC,0
121,C/C=C\CCCCCC,0
122,C/C=C\CCCCCCC,0
123,C/C=C\CCCCCCCCC,0
124,C1(=O)C=CCCC1,0
125,C1(=O)CCCC1,0
126,C1(C)(C)C(C)CCC1,0
127,C1(C)(C)CC(C)CC1,0
128,C1(C)(C)CCCC1,0
129,C1(C)=CC=CC1,0
130,C1(C)=CCC(=C(C)C)CC1,0
131,C1(C)=CCC(C=C)CC1,0
132,C1(C)=CCCC1,0
133,C1(C)C(C)C(C)C(C)CC1,0
134,C1(C)C(C)C(C)CC1,0
135,C1(C)C(C)CC(C)C1,0
136,C1(CC)CCC(CC)CC1,0
137,C1(CC)CCCC1,0
138,C1(CCC=CC)=CC=CC=C1C,0
139,C1(CCCCC1)C=O,0
140,C1(Cl)(F)C(Cl)(F)C(F)(F)C1(F)(F),0
141,C1(Cl)=C(Cl)C(Cl)(Cl)C(Cl)=C1(Cl),0
142,C1(N)CCCC1,0
143,C1(N)CCCCC1,0
144,C1(NC)CCCCC1,0
145,C1(OC(=O)C)CCCCC1,0
146,C1(S)CCCCC1,0
147,C12CCCCC1CCCC2,0
148,C1=C(C(=CC=C1)C)C,0
149,C1=C(C=CC=C1C)C,0
150,C1=CC(=CC=C1C)C,0
151,C1=CC(C)CC1,0
152,C1=CC2=C(C=C1)CCC2,0
153,C1=CC=CC1,0
154,C1=CC=CC=C1,0
155,C1=CC=CC=C1C,0
156,C1=CC=CC=C1C=C,0
157,C1=CC=CC=C1C=O,0
158,C1=CC=CC=C1CC,0
159,C1=CC=CCC1,0
160,C1=CC=CN1,0
161,C1=CCC(C)C1,0
162,C1=CCC(C=C)CC1,0
163,C1=CCC=CC1,0
164,C1=CCCC1,0
165,C1=CCCC=CCC1,0
166,C1=CCCCC1,0
167,C1=CCCCCC1,0
168,C1=CCCCCCC1,0
169,C1=COC=C1,0
170,C1=C[C@H]2[C@@H](C1)[C@H]1C=C[C@@H]2C1,0
171,C1=[C@](C)(CCC([C@](=C)(C))C1),0
172,C1C(=C)C(C2)C(C)(C)C2C1,0
173,C1C(C)c2ccccc2CC1,0
174,C1C(C2(C)(C))CC2C(C)=C1,0
175,C1C(CC)c2ccccc2CC1,0
176,C1C2C(CCC1)CC[C@@H](C2)CCCCCC,0
177,C1C=C(C)C2C(C3)C(C)=CC3C21,0
178,C1C=COC1,0
179,C1CC(C)C2CCCCC2C1,0
180,C1CC(C2CCOC2)CO1,0
181,C1CCC(=O)O1,0
182,C1CCC(C2CCCCC2)CC1,0
183,C1CCCC1,0
184,C1CCCC1(C)(CC),0
185,C1CCCC1(CC(=O)O),0
186,C1CCCC1(CCC),0
187,C1CCCC1(CCCC),0
188,C1CCCC=C1CC=C,0
189,C1CCCCC1,0
190,C1CCCCC1(C)(C),0
191,C1CCCCC1(CC),0
192,C1CCCCC1(CCCCCCCCCC),0
193,C1CCCCC1(Cl),0
194,C1CCCCC1(SC1CCCCC1),0
195,C1CCCCC1C(C)(C)C,0
196,C1CCCCC1C2CCCCC2,0
197,C1CCCCC1CCC,0
198,C1CCCCCCC1,0
199,C1CCCCCN1,0
200,C1CCCCN1,0
201,C1CCCN1,0
202,C1CCCN1(C),0
203,C1CCCO1,0
204,C1CCCc2ccccc21,0
205,C1CCNCC1,0
206,C1CCO1,0
207,C1CCOC1,0
208,C1CCOCC1,0
209,C1CC[C@H]2CCCC[C@@H]2C1,0
210,C1CC[C@H]2CCCC[C@H]2C1,0
211,C1COC1(=O),0
212,C1COCCO1,0
213,C1C[C@@]2(CCCC[C@]2(CC1)([H]))([H]),0
214,C1C[C@]2(CCCC[C@]2(CC1)([H]))([H]),0
215,C1OC(OCCCCO)CC1,0
216,C1[C@@](C)([H])(CC[C@]([H])(C)(C1)),0
217,C1[C@@](C)([H])(C[C@]([H])(C)(C1)),0
218,C1[C@@](C)([H])(C[C@]([H])(C)(CC1)),0
219,C1[C@@](C)([H])([C@]([H])(C)(CC1)),0
220,C1[C@@](C)([H])([C@]([H])(C)(CCC1)),0
221,C1[C@](C)([H])(CC[C@]([H])(C)(C1)),0
222,C1[C@](C)([H])(C[C@]([H])(C)(C1)),0
223,C1[C@](C)([H])(C[C@]([H])(C)(CC1)),0
224,C1[C@](C)([H])(C[C@]([H])(C)(C[C@]1([H])(C))),0
225,C1[C@](C)([H])([C@]([H])(C)(CC1)),0
226,C1[C@](C)([H])([C@]([H])(C)(CCC1)),0
227,C1[C@](O)([H])(C[C@@](C)([H])(CC1)),0
228,C1[C@](O)([H])([C@@](C)([H])(CCC1)),0
229,C1[C@](O)([H])([C@](C)([H])(CCC1)),0
230,C2CCC1CCCC(CC)C1C2,0
231,C=C(C)C#C,0
232,C=C(C)C#N,0
233,C=C(C)C(=O)OC,0
234,C=C(C)C(=O)OCC=C,0
235,C=C(C)C(=O)OCCCCCCC,0
236,C=C(C)C(=O)OCCOC(=O)CC(=O)C,0
237,C=C(C)C(C)(C)C,0
238,C=C(C)C(C)=C,0
239,C=C(C)C(C)C,0
240,C=C(C)C(C)CCC,0
241,C=C(C)C=C,0
242,C=C(C)C=O,0
243,C=C(C)CC(C)(C)C,0
244,C=C(C)CCC,0
245,C=C(C)CCC(C)=C,0
246,C=C(C)CCCC,0
247,C=C(C)CCCCC,0
248,C=C(C)CCCCCC,0
249,C=C(C)CCCCCCC,0
250,C=C(C)[C@@H]1CC=C(C)CC1,0
251,C=C(CC)CC,0
252,C=C(CC)CCC,0
253,C=C(CC)CCCC,0
254,C=C(Cl)C=C,0
255,C=C(Cl)CCl,0
256,C=C(Cl)Cl,0
257,C=C(c1ccccc1)CC,0
258,C=C/C=C/C,0
259,C=C/C=C\C,0
260,C=C=C(C)C,0
261,C=C=CCC,0
262,C=C=CCCC,0
263,C=CC#N,0
264,C=CC(=O)OC,0
265,C=CC(=O)OC(C)C,0
266,C=CC(=O)OCC,0
267,C=CC(=O)OCC(CC)CCCC,0
268,C=CC(=O)OCCCC,0
269,C=CC(=O)OCCO,0
270,C=CC(=O)OCCOC(=O)C=C,0
271,C=CC(C)(C)C,0
272,C=CC(C)C=C,0
273,C=CC(C)CC,0
274,C=CC(C)CCC,0
275,C=CC(C)OC(=O)C,0
276,C=CC(C)OCCO,0
277,C=CC(CC)CC,0
278,C=CC(CC)CCC,0
279,C=CC(Cl),0
280,C=CC(Cl)CCl,0
281,C=CC(OC)=O,0
282,C=CC1=CC=C(CC)C=C1,0
283,C=CC1CCCCC1,0
284,C=CCC#N,0
285,C=CCC(C)C,0
286,C=CCC(C)CC,0
287,C=CCC(C)CCC,0
288,C=CCC=C,0
289,C=CCC=CC,0
290,C=CCCC(=O)C,0
291,C=CCCC(C)C,0
292,C=CCCCC(C)C,0
293,C=CCCCCC(C)C,0
294,C=CCCCCCC(C)C,0
295,C=CCCCCCCC=C,0
296,C=CCCCCCCCC,0
297,C=CCCCCCCCCC,0
298,C=CCCCCCCCCCCCCC,0
299,C=CCN,0
300,C=CCN=C=S,0
301,C=CCNCC=C,0
302,C=CCO,0
303,C=CCOC(=O)/C=C\C(=O)OCC=C,0
304,C=CCOC(=O)C=C,0
305,C=CCOCC1(OC1),0
306,C=CCOCC=C,0
307,C=CCSCC=C,0
308,C=COC(=O),0
309,C=COC(=O)CC,0
310,C=COC=C,0
311,C=C[Si](C)(Cl)Cl,0
312,C=C[Si](Cl)(Cl)Cl,0
313,C=C[Si](OC)(OC)OC,0
314,C=C[Si](OCCOC)(OCCOC)OCCOC,0
315,C=Cc1c(C)cccc1,0
316,C=Cc1cc(C)ccc1,0
317,C=Cc1ccc(C(C)(C)C)cc1,0
318,C=Cc1ccc(C)cc1,0
319,C=Cc1ccccc1,0
320,CC#CC,0
321,CC#CC=C,0
322,CC#CCC,0
323,CC#CCCC,0
324,CC#N,0
325,CC(=C)C(=O)OCCC[Si](Cl)(Cl)Cl,0
326,CC(=C)CNCC,0
327,CC(=O)C,0
328,CC(=O)C(=C)C,0
329,CC(=O)C(=C)OC,0
330,CC(=O)C(C)(C)C,0
331,CC(=O)C(C)C,0
332,CC(=O)C(C)CC,0
333,CC(=O)C1CC1,0
334,CC(=O)C=C,0
335,CC(=O)C=C(C)C,0
336,CC(=O)C=O,0
337,CC(=O)CC(=O)C,0
338,CC(=O)CC(=O)OC,0
339,CC(=O)CC(=O)OCC,0
340,CC(=O)CC(C)(C)O,0
341,CC(=O)CC(C)=O,0
342,CC(=O)CCC,0
343,CC(=O)CCC(=O)OCC,0
344,CC(=O)CCCC,0
345,CC(=O)CCCCC,0
346,CC(=O)CCCCCC,0
347,CC(=O)CCCCCCC,0
348,CC(=O)COC,0
349,CC(=O)Cl,0
350,CC(=O)N(C)C,0
351,CC(=O)O,0
352,CC(=O)OC,0
353,CC(=O)OC(=C)C,0
354,CC(=O)OC(=O)C,0
355,CC(=O)OC(C)(C)C,0
356,CC(=O)OC(C)=O,0
357,CC(=O)OC(C)C,0
358,CC(=O)OC(C)CC,0
359,CC(=O)OC(C)COC,0
360,CC(=O)OC(C)OC(=O)C,0
361,CC(=O)OC(C=C)OC(=O)C,0
362,CC(=O)OC=C,0
363,CC(=O)OCC(C)C,0
364,CC(=O)OCC(CC)CCCC,0
365,CC(=O)OCCC,0
366,CC(=O)OCCC(C)C,0
367,CC(=O)OCCCCC,0
368,CC(=O)OCCCCCCC,0
369,CC(=O)OCCCCCCCC,0
370,CC(=O)OCCCCCCCCC,0
371,CC(=O)OCCCCCCCCCC,0
372,CC(=O)OCCOC(C)=O,0
373,CC(=O)OCCOCCCC,0
374,CC(=O)OCc1ccccc1,0
375,CC(=O)Oc1ccccc1,0
376,CC(=O)SCC,0
377,CC(=O)c1ccc(C)cc1,0
378,CC(Br)Br,0
379,CC(Br)C,0
380,CC(Br)CC,0
381,CC(C)(C)Br,0
382,CC(C)(C)C(=O)OC=C,0
383,CC(C)(C)C(C)(C)CC,0
384,CC(C)(C)C(C)(C)CCC,0
385,CC(C)(C)C(C)C,0
386,CC(C)(C)C(C)C(C)C,0
387,CC(C)(C)C(C)CC,0
388,CC(C)(C)C(CC)CC,0
389,CC(C)(C)C1CCCCC1,0
390,CC(C)(C)CC,0
391,CC(C)(C)CC(C)(C)C,0
392,CC(C)(C)CC(C)C,0
393,CC(C)(C)CC(C)CCC,0
394,CC(C)(C)CCC,0
395,CC(C)(C)CCC(C)(C)C,0
396,CC(C)(C)CCC(C)C,0
397,CC(C)(C)CCCC,0
398,CC(C)(C)CCCCC,0
399,CC(C)(C)CCCCCC,0
400,CC(C)(C)CCCCCCCCS,0
401,CC(C)(C)Cl,0
402,CC(C)(C)N,0
403,CC(C)(C)OC(=O)C,0
404,CC(C)(C)OC(=O)C(=C)C,0
405,CC(C)(C)OC(C)(C)C,0
406,CC(C)(C)OC(C)CO,0
407,CC(C)(C)OC(C)COCC(O)C,0
408,CC(C)(C)OC=O,0
409,CC(C)(C)OCC(C)OCC(C)OC(C)(C)C,0
410,CC(C)(C)OCC(O)C,0
411,CC(C)(C)OCC(O)COC(C)(C)C,0
412,CC(C)(C)S,0
413,CC(C)(C)SC(C)(C)C,0
414,CC(C)(C)SCC,0
415,CC(C)(C)SSC(C)(C)C,0
416,CC(C)(C)c1ccccc1,0
417,CC(C)(O)CC,0
418,CC(C)=C(C)C,0
419,CC(C)=CC,0
420,CC(C)=CC(=O)C,0
421,CC(C)=CC(=O)C=C(C)C,0
422,CC(C)=CC(C)(C)C,0
423,CC(C)=CC=C(C)C,0
424,CC(C)=CCC,0
425,CC(C)=O,0
426,CC(C)Br,0
427,CC(C)C(=O),0
428,CC(C)C(=O)C(C)C,0
429,CC(C)C(=O)O,0
430,CC(C)C(=O)OC,0
431,CC(C)C(=O)OC(=O)C(C)C,0
432,CC(C)C(=O)OCC,0
433,CC(C)C(=O)OCC(C)(C)C(C(C)(C))OC(=O)C(C)(C),0
434,CC(C)C(=O)OCC(C)(C)C(O)C(C)C,0
435,CC(C)C(=O)OCCC,0
436,CC(C)C(C)(C)C(C)C,0
437,CC(C)C(C)(C)CC,0
438,CC(C)C(C)C,0
439,CC(C)C(C)C(C)C,0
440,CC(C)C(C)CCC,0
441,CC(C)C(C)CCCC,0
442,CC(C)C(C)CCCCC,0
443,CC(C)C(C)CCCCCC,0
444,CC(C)C(C)CCCCCCC,0
445,CC(C)C(C)CCCCCCCC,0
446,CC(C)C(C)CCCCCCCCC,0
447,CC(C)C(CC)C(C)C,0
448,CC(C)C(CC)CC,0
449,CC(C)C(O)=O,0
450,CC(C)C1=CC=C(CC1)C,0
451,CC(C)C1=CCC(=CC1)C,0
452,CC(C)C1C=CC(=C)CC1,0
453,CC(C)C1C=CC(C)=CC1,0
454,CC(C)C1CCCCC1,0
455,CC(C)C=O,0
456,CC(C)CC(=O),0
