value,T,Train_Test_Label,property,unit,cmp_ids,cmp_mole_fractions
-0.1401,298.0,train,Log viscosity,cP,[0.0],"[1.0, 0.0]"
-0.0112,298.0,train,Log viscosity,cP,[1.0],"[1.0, 0.0]"
-0.2198,298.15,train,Log viscosity,cP,[1063.0],"[0.0, 1.0]"
-0.0808,298.15,train,Log viscosity,cP,"[2.0, 1063.0]","[0.1, 0.9]"
0.0501,298.15,train,Log viscosity,cP,"[2.0, 1063.0]","[0.2, 0.8]"
0.1654,298.15,train,Log viscosity,cP,"[2.0, 1063.0]","[0.3, 0.7]"
0.2647,298.15,train,Log viscosity,cP,"[2.0, 1063.0]","[0.4, 0.6]"
0.3493,298.15,train,Log viscosity,cP,"[2.0, 1063.0]","[0.5, 0.5]"
0.4209,298.15,train,Log viscosity,cP,"[2.0, 1063.0]","[0.6, 0.4]"
0.4808,298.15,train,Log viscosity,cP,"[2.0, 1063.0]","[0.7, 0.3]"
0.5303,298.15,train,Log viscosity,cP,"[2.0, 1063.0]","[0.8, 0.2]"
0.5701,298.15,train,Log viscosity,cP,"[2.0, 1063.0]","[0.9, 0.1]"
0.6006,298.15,test,Log viscosity,cP,[2.0],"[1.0, 0.0]"
-0.0175,308.0,train,Log viscosity,cP,[12.0],"[0.0, 1.0]"
0.0092,308.0,train,Log viscosity,cP,"[3.0, 12.0]","[0.1, 0.9]"
0.0362,308.0,train,Log viscosity,cP,"[3.0, 12.0]","[0.2, 0.8]"
0.0636,308.0,train,Log viscosity,cP,"[3.0, 12.0]","[0.3, 0.7]"
0.0899,308.0,train,Log viscosity,cP,"[3.0, 12.0]","[0.4, 0.6]"
0.1152,308.0,train,Log viscosity,cP,"[3.0, 12.0]","[0.5, 0.5]"
0.1387,308.0,train,Log viscosity,cP,"[3.0, 12.0]","[0.6, 0.4]"
0.1608,308.0,train,Log viscosity,cP,"[3.0, 12.0]","[0.7, 0.3]"
0.1827,308.0,train,Log viscosity,cP,"[3.0, 12.0]","[0.8, 0.2]"
0.2029,308.0,train,Log viscosity,cP,"[3.0, 12.0]","[0.9, 0.1]"
0.2209,308.0,train,Log viscosity,cP,[3.0],"[1.0, 0.0]"
-0.1981,318.0,train,Log viscosity,cP,[189.0],"[0.0, 1.0]"
-0.165,318.0,train,Log viscosity,cP,"[3.0, 189.0]","[0.1, 0.9]"
-0.1323,318.0,train,Log viscosity,cP,"[3.0, 189.0]","[0.2, 0.8]"
-0.1005,318.0,train,Log viscosity,cP,"[3.0, 189.0]","[0.3, 0.7]"
-0.0658,318.0,train,Log viscosity,cP,"[3.0, 189.0]","[0.4, 0.6]"
-0.0283,318.0,train,Log viscosity,cP,"[3.0, 189.0]","[0.5, 0.5]"
0.0103,318.0,train,Log viscosity,cP,"[3.0, 189.0]","[0.6, 0.4]"
0.0498,318.0,train,Log viscosity,cP,"[3.0, 189.0]","[0.7, 0.3]"
0.0879,318.0,train,Log viscosity,cP,"[3.0, 189.0]","[0.8, 0.2]"
0.1272,318.0,train,Log viscosity,cP,"[3.0, 189.0]","[0.9, 0.1]"
0.1692,318.0,train,Log viscosity,cP,[3.0],"[1.0, 0.0]"
-0.5157,298.15,train,Log viscosity,cP,[425.0],"[0.0, 1.0]"
-0.3867,298.15,train,Log viscosity,cP,"[3.0, 425.0]","[0.1, 0.9]"
-0.2779,298.15,train,Log viscosity,cP,"[3.0, 425.0]","[0.2, 0.8]"
-0.1859,298.15,train,Log viscosity,cP,"[3.0, 425.0]","[0.3, 0.7]"
-0.096,298.15,train,Log viscosity,cP,"[3.0, 425.0]","[0.4, 0.6]"
-0.0169,298.15,train,Log viscosity,cP,"[3.0, 425.0]","[0.5, 0.5]"
0.0552,298.15,train,Log viscosity,cP,"[3.0, 425.0]","[0.6, 0.4]"
0.1175,298.15,train,Log viscosity,cP,"[3.0, 425.0]","[0.7, 0.3]"
0.1771,298.15,train,Log viscosity,cP,"[3.0, 425.0]","[0.8, 0.2]"
0.2298,298.15,train,Log viscosity,cP,"[3.0, 425.0]","[0.9, 0.1]"
0.2774,298.15,train,Log viscosity,cP,[3.0],"[1.0, 0.0]"
