compound_id,smiles
0,O=[N+]([O-])c1cccc(O)c1
1,CCCCCOC(C)=O
2,O=[N+]([O-])c1ccccc1O
3,CCOC(=O)c1ccc(O)cc1
4,CCOC(=O)c1cccc(O)c1
5,CCOC(=O)c1ccccc1O
6,OCc1ccccc1
7,OC(c1ccccc1)c1ccccc1
8,OC(c1ccccc1)(c1ccccc1)c1ccccc1
9,Oc1ccc2ccccc2c1
10,Oc1cccc2ccccc12
11,Oc1ccc(Cl)cc1
12,CCO
13,Oc1ccccc1Cl
14,Oc1cccc(Cl)c1
15,COCc1ccccc1
16,CC(=O)OCc1ccccc1
17,Nc1ccccc1
18,C1CCCCC1
19,O=S(=O)(O)O
20,CCOCC
21,O=[N+]([O-])c1ccccc1
22,CCCCCC
23,CC(=O)O
24,O
25,CCCC(=O)O
26,O=CO
27,CO
28,CC(C)O
29,CC(C)CCO
30,CC(C)CC(=O)O
31,CC(C)CO
32,CCC(=O)O
33,CC(C)C(=O)O
34,CCCO
35,c1ccccc1
36,Cc1ccccc1
37,C=CCO
38,OCCO
39,Cc1cccc(C)n1
40,c1ccncc1
41,Cc1cccnc1
42,Cc1ccccn1
43,CCCCCCOC(C)=O
44,C1CCOC1
45,C1COCCO1
46,COc1ccccc1
47,C=COCCCC
48,Oc1ccccc1
49,CC(=O)Oc1ccccc1
50,CCOc1ccccc1
51,Cc1ccc(O)cc1
52,Cc1ccccc1O
53,Cc1cccc(O)c1
54,COc1cccc(C)c1
55,COc1ccccc1C
56,COc1ccc(C)cc1
57,O=[N+]([O-])c1ccc(O)cc1
58,c1ccc(Oc2ccccc2)cc1
59,ClC(Cl)Cl
60,O=S=O
61,ClC(Cl)(Cl)Cl
62,ClCl
63,CC(C)=O
64,S
65,S=C=S
66,CCCCCCC
67,CCOC(C)=O
68,COC(C)=O
69,CN(C)c1ccccc1
70,CN(c1ccccc1)c1ccccc1
71,c1ccc2ncccc2c1
72,Clc1ccccc1
73,Cc1ccc(N)cc1
74,c1ccc(Nc2ccccc2)cc1
75,c1ccc2ccccc2c1
76,c1ccc(-c2ccccc2)cc1
77,O=C(OCc1ccccc1)c1ccccc1
78,CCOC(=O)c1ccccc1
79,O=C(O)C(Cl)(Cl)Cl
80,CC(=O)c1ccccc1
81,[Cl-].[Cl-].[Cl-].[Cl-].[Sn+4]
82,CCCC(=O)OC
83,CC(O)CN
84,NCCNCCO
85,NCCCO
86,NCCNCCN
87,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
88,CS(C)=O
89,C=CCc1ccc2c(c1)OCO2
90,C=CCc1ccc(O)c(OC)c1
91,CC=Cc1ccc(O)c(OC)c1
92,CCc1ccccc1
93,C=Cc1ccccc1
94,O=C(Cc1ccccc1)Cc1ccccc1
95,O=C(c1ccccc1)c1ccccc1
96,CC=Cc1ccc2c(c1)OCO2
97,CC(=O)C=C(C)C
98,O=C(Cc1ccccc1)c1ccccc1
99,CC(C)=CC(=O)C=C(C)C
100,C#Cc1ccccc1
101,CC(=O)CCc1ccccc1
102,O=CC(Cl)(Cl)Cl
103,Nc1cccc2ccccc12
104,NNc1ccccc1
105,CCCCCCCCN(CCCCCCCC)CCCCCCCC
106,CCCCCCO
107,CCCCCCCCO
108,O=[N+]([O-])[O-].[Ag+]
109,CC#N
110,Nc1cccc(Cl)c1
111,CCNc1ccccc1
112,CCN(CC)c1ccccc1
113,CC(=O)Nc1ccccc1
114,COc1ccccc1O
115,CNc1ccccc1
116,Cc1ccccc1N
117,C=CCN=C=S
118,CCOC(N)=O
119,O=S(Cl)Cl
120,Cc1cc(C)cc(C)c1
121,O=S(=O)(Cl)Cl
122,OCC(O)CO
123,Cl[As](Cl)Cl
124,c1ccc2c(c1)CCCC2
125,C1CCC2CCCCC2C1
126,ClCCCl
127,BrCCBr
128,CCCCO
129,CCC(O)CC
130,CC(C)(C)O
131,C1CCCC1
132,C1CCCCCC1
133,CC1CCCCC1
134,[Br-].[Br-].[Br-].[Br-].[Sn+4]
135,C1CCNCC1
136,CCOC=O
137,[O-][Cl+3]([O-])([O-])O
138,O=C(O)c1ccccc1
139,CCCCCCCC
140,C1C[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C1
141,CC(O)CO
142,O=C1CCCCC1
143,OC1CCCCC1
144,Brc1ccc(Br)cc1
145,O=[N+]([O-])c1cccc([N+](=O)[O-])c1
146,C1=Cc2cccc3cccc1c23
147,Brc1ccccc1
148,Nc1ccccc1[N+](=O)[O-]
149,NC(N)=O
150,O=C([O-])[C@H](O)[C@@H](O)C(=O)[O-].[K+].[K+]
151,CCCCCCCCCC
152,C=Cn1cc[n+](CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
153,CC(=O)[O-].CCCC[n+]1ccn(C)c1
154,CCC(C)O
155,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1
156,O=C(O)CCl
157,CCC(C)=O
158,CCCC(C)=O
159,C1COCCN1
160,NC=O
161,C1COCOC1
162,CCCCCCCCCCCCCCCC
163,CCNCC
164,CC(N)=O
165,O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
166,CN1CCC[C@H]1c1cccnc1
167,Cc1ccccc1[N+](=O)[O-]
168,FC(F)(F)C(F)(F)Cl
169,CC(F)F
170,FC(F)Cl
171,CC(F)(F)Cl
172,FCCl
173,FC(F)(Cl)C(F)(F)Cl
174,FC(F)(Cl)Cl
175,Cc1cccc(C)c1
176,Cc1ccc(C(C)C)cc1
177,CC(=O)CC(C)C
178,OCCOCCOCCOCCO
179,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
180,CN1CCCC1=O
181,C[N+](C)(C)CCO.[Cl-]
182,O=C(O)CC(=O)O
183,[Cl-].[Cl-].[Mg+2]
184,O=c1oc2ccccc2c(O)c1C(c1ccccc1)c1c(O)c2ccccc2oc1=O
185,ClC(Cl)C(Cl)Cl
186,CCN(C=O)CC
187,CCCCCO
188,CCCCCl
189,CCCCBr
190,Ic1ccccc1
191,N#Cc1ccccc1
192,[Cl-].[Cl-].[Cl-].[Cl-].[Ge+4]
193,CSC
194,c1ccc(Cc2ccccc2)cc1
195,NCCN
196,O=P(O)(O)O
197,Cc1ccc(C)cc1
198,Cc1ccccc1C
199,CC(C)c1ccccc1
200,CCCCOC(C)=O
201,CCCCCOC(=O)CCC
202,CC(=O)OC(C)=O
203,CC(O)=S
204,O=Cc1ccccc1
205,CCOC(C)OCC
206,Cl[Si](Cl)(Cl)Cl
207,COCOC
208,CCCCCCCCCCCC
209,CCCCCCCCCCCCCC
210,CCCCCC(=O)O
211,CC(=O)N(C)C
212,CCOC(=O)c1ccccc1C(=O)OCC
213,OCCOCCO
214,OCCOCCOCCO
215,COCCOC
216,COc1ccccc1N
217,ClCC(Cl)Cl
218,C[N+](=O)[O-]
219,COCCOCCOC
220,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-]
221,CN(C)C=O
222,CCC#N
223,CCS(=O)CC
224,NCCCC(=O)O
225,CN(C)C(=N)NC(=N)N.Cl
226,CCn1cc[n+](C)c1.N#C[S-]
227,CC[n+]1ccn(C)c1.N#C[N-]C#N
228,OC(C(F)(F)F)C(F)(F)F
229,[He]
230,[Kr]
231,N#N
232,O=C=O
233,[Ar]
234,CCCCC
235,COC(N)=O
236,CCCCCCCO
237,NS(=O)(=O)O
238,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
239,CCCCn1cc[n+](C)c1.CCOS(=O)(=O)[O-]
240,CC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
241,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
242,CCCCn1cc[n+](C)c1.F[B-](F)(F)F
243,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F
244,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
245,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
246,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
247,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
248,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
249,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F
250,CCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
251,O=C1CCCN1
252,CCCC=O
253,O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[NH4+].[NH4+].[Ni+2]
254,C=CC[n+]1ccn(C)c1.[Cl-]
255,CCCCC(C)O
256,CCCCCC(C)O
257,CCCCCCC(C)O
258,CCCCCCCCCCCCBr
259,BrC(Br)C(Br)Br
260,ClC=C(Cl)Cl
261,O=S1(=O)CCCC1
262,Cc1cccc(C(C)C)c1
263,COCCOCCOCCOC
264,[2H]O[2H]
265,CC[N+](=O)[O-]
266,O=CC(Br)(Br)Br
267,CC(C)COCCO
268,[Ne]
269,CCn1cc[n+](C)c1.F[B-](F)(F)F
270,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
271,O=C1CCCO1
272,CCCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
273,O=C1OCCO1
274,CNC(C)=O
275,O=S(=O)([O-])[O-].[NH3+]O.[NH3+]O
276,CC1COC(=O)O1
277,CCCC[N+](CCCC)(CCCC)CCCC.[Br-]
278,BrC(Br)Br
279,N#CCc1ccccc1
280,CCCC#N
281,[Br-].[Li+]
282,[I-].[Li+]
283,Fc1c(F)c(F)c(F)c(F)c1F
284,NC(CO)CO
285,C1CNCCN1.C1CNCCN1.C1CNCCN1.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O
286,[Cl-].[Na+]
287,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
288,C=CC#N
289,N#CCCl
290,CC1(C)OC1C#N
291,CCC1(C)OC1C#N
292,CC1(c2ccccc2)OC1C#N
293,CCCCCCCCCO
294,CC(C)CC(C)(C)C
295,[Li+].[OH-]
296,[Na+].[OH-]
297,[K+].[OH-]
298,O=[N+]([O-])[O-].[Li+]
299,N
300,O=[N+]([O-])[O-].[Na+]
301,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ba+2]
302,O=[N+]([O-])[O-].[K+]
303,O=S(=O)([O-])[O-].[Li+].[Li+]
304,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2]
305,O=S(=O)([O-])[O-].[Ni+2]
306,Cc1cccc2ccccc12
307,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C
308,CCCC(C)O
309,C=O
310,N[C@@H](CO)C(=O)O
311,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O
312,C[C@@H](O)[C@H](N)C(=O)O
313,CC(C)C[C@H](N)C(=O)O
314,C=CC(=O)OC
315,C=CC(=O)OCC
316,C=CC(=O)OCCCC
317,C=CC(=O)OC(C)(C)C
318,O=C([O-])[O-].[Na+].[Na+]
319,O=C1CCCC1
320,OCCCO
321,CCCCN
322,[Cl-].[K+]
323,CCN(CC)CC
324,CNC=O
325,ClCCl
326,COCCOCCOCCOCCOC
327,ClC(Cl)=C(Cl)Cl
328,O=S(=O)([O-])[O-].[Na+].[Na+]
