compound_id,smiles,salt
0,CCOC(=O)C1OC1(C)c1ccccc1,0
1,O=Cc1ccccc1,0
2,CCCCCC1CCC(=O)O1,0
3,CC(=O)OCCC(C)C,0
4,CCCCCOC(=O)CCC,0
5,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,0
6,CCCCC/C=C/C=C/C=O,0
7,CC(=O)c1ccccc1,0
8,CCCCC(=O)O,0
9,COc1ccc(C)cc1,0
10,Cc1nccnc1C,0
11,O=c1ccc2ccccc2o1,0
12,Cc1ccc2ncccc2c1,0
13,CC(=O)c1ccccn1,0
14,COC(OC)C(C)c1ccccc1,0
15,CCOC(=O)CC,0
16,CC(C)CCOC(=O)Cc1ccccc1,0
17,CCCCCCCC1CCC(=O)O1,0
18,CCC/C=C/C=O,0
19,CCCCCOC(=O)CCCC,0
20,CCC1OC(=O)C(O)=C1C,0
21,Cc1ccc(OC(=O)C(C)C)cc1,0
22,CC(C)c1ccc(C=O)cc1,0
23,COc1ccccc1,0
24,CCCCSCCCC,0
25,CC(=O)Oc1ccc(C)cc1,0
26,CCCCCCCC(=O)OCC,0
27,CSC,0
28,COc1ccc(C=O)cc1,0
29,CC(C)C(=O)O,0
30,CCCO,0
31,CC(C)=O,0
32,SCc1ccco1,0
33,CC(C)C=O,0
34,C=CCCC(=O)O,0
35,C=C(C)[C@H]1CC=C(C)CC1,0
36,CSSC,0
37,C=CCc1ccc(O)c(OC)c1,0
38,CCCCNCCCC,0
39,CC(O)C(=O)O,0
40,COC(=O)c1ccccc1O,0
41,CC(C)=CCC/C(C)=C/CO,0
42,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,0
43,CC1CCC(=O)O1,0
44,CCCCCCCC(=O)OC,0
45,CCCCCCCCCOC(C)=O,0
46,CCCCCCC=O,0
47,CCCCCOC(C)=O,0
48,C=CCCCCCCCCC(=O)O,0
49,CCCCCCCCCC(=O)OCC,0
50,Cc1ccc(C(C)C)cc1,0
51,CCCCCCCCCCC=O,0
52,CCOC(=O)C(C)O,0
53,C#Cc1ccccc1,0
54,c1ccsc1,0
55,CCCC(=O)SC,0
56,Cc1ccccc1,0
57,CC(=O)O,0
58,CC(C)=CCCC(C)C=O,0
59,CCCC(C)O,0
60,C=C[C@](C)(O)CCC=C(C)C,0
61,CC(=O)C(=O)O,0
62,COc1ccccc1O,0
63,CC=O,0
64,C=CC(O)CC,0
65,CCOC(=O)c1ccccc1,0
66,C1CCSC1,0
67,c1ccc(Oc2ccccc2)cc1,0
68,CCCCCC(=O)OCC,0
69,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0
70,CC1=CCC2CC1C2(C)C,0
71,CC(C)CC(=O)O,0
72,CC1=CCC(C(C)C)C=C1,0
73,CC(C)(O)CCc1ccccc1,0
74,CC(C)=CCC[C@H](C)CCO,0
75,CCCCCCOC(=O)CCCCC,0
76,CCOC=O,0
77,CCCS,0
78,CC(=O)C(C)O,0
79,c1ccc2[nH]ccc2c1,0
80,CC(C)O,0
81,Cc1cc(O)c(C(C)C)cc1Cl,0
82,CCC(C)S,0
83,O=C/C=C/c1ccccc1,0
84,CCCSCCC,0
85,CN(C)C,0
86,CCCC=O,0
87,Cc1ccc(C(C)C)c(O)c1,0
88,CC(C)CC=O,0
89,CC(=O)OCCc1ccccc1,0
90,CSSSC,0
91,CCc1ccc(O)c(OC)c1,0
92,CCc1cnccn1,0
93,CC(=O)C=C(C)C,0
94,C=C1CC[C@H]2C[C@@H]1C2(C)C,0
95,COC(=O)c1ccccc1N,0
96,CCCCCC(C)O,0
97,CC1=CC(=O)CC(C)(C)C1,0
98,CCC(=O)OC,0
99,CCCCCCCCCC(=O)O,0
100,CCCCCCO,0
101,CCCC(=O)CC,0
102,CSCSC,0
103,CCCC(=O)OC(C)(C)Cc1ccccc1,0
104,CCCCCC(C)=O,0
105,O=C(O)Cc1ccccc1,0
106,CC1=CC[C@@H](C(C)(C)O)CC1,0
107,CCCCCCCCC(C)=O,0
108,CCCC(=O)O,0
109,CCCCOC(C)=O,0
110,CC12CCC(CC1)C(C)(C)O2,0
111,CCCCCCCC(C)O,0
112,CCCCCC(=O)O,0
113,C=CC(O)CCCCC,0
114,COC(=O)c1ccccc1,0
115,CCCC(O)CC,0
116,OCCc1ccccc1,0
117,CCCC(=O)OCC,0
118,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0
119,CCSCC,0
120,Cc1cnc(C)cn1,0
121,CCCCCCCO,0
122,CCCCCCCCO,0
123,CCCOC(=O)CCC,0
124,Cc1ccccc1C=O,0
125,O=CC=Cc1ccccc1,0
126,CCOC(=O)CCSCc1ccco1,0
127,CSCCCN=C=S,0
128,CCCCCC/C=C/C(C)=O,0
129,O=C(OCCc1ccccc1)c1ccccc1,0
130,O=Cc1ccc(O)cc1,0
131,COc1cc(C(C)=O)ccc1O,0
132,O=C(Cc1ccccc1)OCCc1ccccc1,0
133,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,0
134,C/C=C/C=C/C(=O)OCC,0
135,c1ccc(COCc2ccccc2)cc1,0
136,CC(C)CC(=O)OC1CC(C)CCC1C(C)C,0
137,Cc1ccc(O)cc1,0
138,CC(CC=O)CCCC(C)(C)O,0
139,OC1CCCCC1,0
140,CCCCC(=O)OCC,0
141,CC/C=C1\OC(=O)c2ccccc21,0
142,Cc1c[nH]c2ccccc12,0
143,CCCC(=O)OC,0
144,CCCCCCCC=O,0
