compound_id,smiles,salt,polymer,monomeric_unit
0,COC,0,0,
1,CC(C)(C(=O)OCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu]C(C)(C(=O)OCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
2,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],1,0,
3,CCN(C)CC,0,1,[Cu]CN(C)C[Au]
4,O=C1OC(C)CO1,0,0,
5,C[N+]1(CCC)CCCC1.O=S(C(F)(F)F)([N-]S(=O)(C(F)(F)F)=O)=O,1,0,
6,C[P-](OC1=O)(OC1=O)(OC2=O)(OC2=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][P-](OC1=O)(OC1=O)(OC2=O)(OC2=O)OCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
7,CSCCSCCSCCOCCOCCOCCOCC,0,1,[Cu]SCCSCCSCCOCCOCCOCCOC[Au]
8,CCOC(OC)=O,0,0,
9,CCC(C1=CC=C(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)C=C1)C(C(OCCOCCOCCOCCOCCOCCOCCOCCOC)=O)CC,0,1,[Cu]CC(C1=CC=C(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)C=C1)C(C(OCCOCCOCCOCCOCCOCCOCCOCCOC)=O)C[Au]
10,C[B-]1(OC(=O)CC(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][B-]1(OC(=O)CC(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
11,CCC(COOCCOCCOCCOCCOC)(C)C,0,1,[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au]
12,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Li+],1,0,
13,COCCOCCOCCOCC1=C(COCCOCCOCCOC)C=CC=C1,0,0,
14,O=S(=O)([B-](S(=O)(=O)C(F)(F)F)(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1,0,
15,COC(=O)OCCCCCCC,0,1,[Cu]OC(=O)OCCCCCC[Au]
16,F[B-](F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],1,0,
17,COC(=O)OC(C)CC,0,1,[Cu]OC(=O)OC(C)C[Au]
18,CC1=CC=CC=C1,0,0,
19,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],1,0,
20,CCC(C([O-])=O)C,0,1,[Cu]CC(C([O-])=O)[Au]
21,C[Al-](SC1=CC=CO1)(SC2=CC=CO2)OCCOCCOCCC,0,1,[Cu][Al-](SC1=CC=CO1)(SC2=CC=CO2)OCCOCCOCC[Au]
22,[Li+].[O-][Cl+3]([O-])([O-])[O-],1,0,
23,CCCCCOCCOCCOCCOCCC,0,1,[Cu]CCCCOCCOCCOCCOCC[Au]
24,CCC(Cl)C,0,1,[Cu]CC(Cl)[Au]
25,C[Si](CCOCCOCCOC1=CC=C([B-](C3=CC=CC=C3)(C4=CC=CC=C4)C2=CC=CC=C2)C=C1)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)OC,0,1,[Cu][Si](CCOCCOCCOC1=CC=C([B-](C3=CC=CC=C3)(C4=CC=CC=C4)C2=CC=CC=C2)C=C1)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Au]
26,CC(=O)CN(CCOCCOC)C,0,1,[Cu]C(=O)CN(CCOCCOC)[Au]
27,CC(C)/C=C/C(C([O-])=O)C,0,1,[Cu]C(C)/C=C/C(C([O-])=O)[Au]
28,C(COCCOCCOCCOCCOCCOCCOCCO)O,0,0,
29,CC#N,0,0,
30,O=S(=O)([B-](F)(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1,0,
31,COCCOCCOCCOCC1COB(C2=CC=C(B3OCC(O3)COCCOCCOCCOC)C=C2)O1,0,0,
32,CCC(C1=CC=C(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)C=C1)C(C(OCCOCCOCCOCCOCCOCCOCCOCCOC)=O)CC(C(OCCOCCOCCOCCOCCOCCOCCOCCOC)=O)CC(C(OCCOCCOCCOCCOCCOCCOCCOCCOC)=O)CC,0,1,[Cu]CC(C1=CC=C(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)C=C1)C(C(OCCOCCOCCOCCOCCOCCOCCOCCOC)=O)CC(C(OCCOCCOCCOCCOCCOCCOCCOCCOC)=O)CC(C(OCCOCCOCCOCCOCCOCCOCCOCCOC)=O)C[Au]
33,C[Al-](OC1=CC=CO1)(OC2=CC=CO2)OCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][Al-](OC1=CC=CO1)(OC2=CC=CO2)OCCOCCOCCOCCOCCOCCOCCOCC[Au]
34,COC(=O)OCC(CC)(COCC=C)CC,0,1,[Cu]OC(=O)OCC(CC)(COCC=C)C[Au]
35,CC(=O)CN(CCOCCOCCOC)C,0,1,[Cu]C(=O)CN(CCOCCOCCOC)[Au]
36,CCC(C(=O)OCC1OC(=O)OC1)C,0,1,[Cu]CC(C(=O)OCC1OC(=O)OC1)[Au]
37,[Cl-].[Li+],1,0,
38,O=S(N(CC)CC)(N(CC)CC)=O,0,0,
39,COC(=O)CCCCCOC(=O)OCCCC,0,1,[Cu]OC(=O)CCCCCOC(=O)OCCC[Au]
40,CCC(C1=CC=C(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)C=C1)CC(C1=CC=C(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)C=C1)CC(C1=CC=C(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)C=C1)C(C(OCCOCCOCCOCCOCCOCCOCCOCCOC)=O)CC,0,1,[Cu]CC(C1=CC=C(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)C=C1)CC(C1=CC=C(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)C=C1)CC(C1=CC=C(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)C=C1)C(C(OCCOCCOCCOCCOCCOCCOCCOCCOC)=O)C[Au]
41,C[B-]1(OC(=O)C(=O)O1)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)C,0,1,[Cu][B-]1(OC(=O)C(=O)O1)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)[Au]
42,C[Al-](SC1=CC=CO1)(SC2=CC=CO2)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][Al-](SC1=CC=CO1)(SC2=CC=CO2)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
43,CC(C(OC)=O)(C)CC,0,1,[Cu]C(C(OC)=O)(C)C[Au]
44,O=S(=O)([B-](F)(F)F)C(F)(F)F.[Li+],1,0,
45,CCC1=CC=C(C=C1)B2OB(C3=CC=C(C=C3)COCCOCCOCCOCCO)O[B-]4(O2)OB(C5=CC=C(C=C5)COCCOCCOCCOCCO)OB(O4)C6=CC=C(C=C6)CC,0,1,[Cu]CC1=CC=C(C=C1)B2OB(C3=CC=C(C=C3)COCCOCCOCCOCCO)O[B-]4(O2)OB(C5=CC=C(C=C5)COCCOCCOCCOCCO)OB(O4)C6=CC=C(C=C6)C[Au]
46,C[Al-](SC1=CC=CO1)(SC2=CC=CO2)SCCSC,0,1,[Cu][Al-](SC1=CC=CO1)(SC2=CC=CO2)SCCS[Au]
47,COC(C1=O)=C(C1=O)OC1=C(OCC)C=C(C(OCC)=C1)C,0,1,[Cu]OC(C1=O)=C(C1=O)OC1=C(OCC)C=C(C(OCC)=C1)[Au]
48,CCCCCCC(=O)OC,0,1,[Cu]CCCCCC(=O)O[Au]
49,OCCOCCOCCOCCOCCOCCOCCOCCO,0,0,
50,COC(=O)OC(CCC)CC,0,1,[Cu]OC(=O)OC(CCC)C[Au]
51,COC(=O)OCCCCC,0,1,[Cu]OC(=O)OCCCC[Au]
52,COCCOCOCC,0,1,[Cu]OCCOCOC[Au]
53,N#C[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],1,0,
54,COB(C1=C(C=C(C=C1C)C)C)OCCOCCOCCC,0,1,[Cu]OB(C1=C(C=C(C=C1C)C)C)OCCOCCOCC[Au]
55,COC(=O)OCCCCCCCC,0,1,[Cu]OC(=O)OCCCCCCC[Au]
56,O=S(=O)([B-](F)(S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],1,0,
57,F[B-](F)(C(F)(F)F)C(F)(F)F.[Li+],1,0,
58,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,1,0,
59,C[N+]1(CCC)CCCC1.O=S(F)([N-]S(=O)(F)=O)=O,1,0,
60,C[B-]1(OC(=O)C(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][B-]1(OC(=O)C(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
61,O=S1(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C1(F)F.[Li+],1,0,
62,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],1,0,
63,COC(=O)OC(COCC)CC,0,1,[Cu]OC(=O)OC(COCC)C[Au]
64,CC(C)(C(=O)OCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu]C(C)(C(=O)OCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
65,NCCN(CCN)CCN,0,0,
66,CC(C1=CC=C(NC(=O)CC2=C(OC)C=CC=C2(OC))C=C1)CC,0,1,[Cu]C(C1=CC=C(NC(=O)CC2=C(OC)C=CC=C2(OC))C=C1)C[Au]
67,B(F)(F)F.CCOCC,1,0,
68,CC1N(C(=O)C)C(=O)N(C(=O)C)C1C,0,1,[Cu]C1N(C(=O)C)C(=O)N(C(=O)C)C1[Au]
69,C[Al-](OC1=CC=CO1)(OC2=CC=CO2)OCCOCCOCCOCCOCCOCCC,0,1,[Cu][Al-](OC1=CC=CO1)(OC2=CC=CO2)OCCOCCOCCOCCOCCOCC[Au]
70,CCC(C)(C#N)C,0,1,[Cu]CC(C)(C#N)[Au]
71,CCCCCOCCOCCOCCOCCOCCC,0,1,[Cu]CCCCOCCOCCOCCOCCOCC[Au]
72,C[Al-](OCC)(OCC)SCCOCCSC,0,1,[Cu][Al-](OCC)(OCC)SCCOCCS[Au]
73,COC(OC)=O,0,0,
74,C[N+]1(COC)CCCC1.O=S([N-]S(=O)(F)=O)(F)=O,1,0,
