cmp1_mn_or_mw,cmp2_mn_or_mw,cmp3_mn_or_mw,cmp4_mn_or_mw,value,property,unit,"Temperature, K",cmp_ids,cmp_mole_fractions,cmp_mws
600000.0,5990.712263,,,-5.211726,log Conductivity,S/cm,403.24743219999993,"[336.0, 283.0]","[0.857142857, 0.142857143]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.28013,log Conductivity,S/cm,393.4275566,"[336.0, 283.0]","[0.857142857, 0.142857143]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.473941,log Conductivity,S/cm,383.48645949999997,"[336.0, 283.0]","[0.857142857, 0.142857143]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.542345,log Conductivity,S/cm,372.92129011,"[336.0, 283.0]","[0.857142857, 0.142857143]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.656352,log Conductivity,S/cm,363.7133386,"[336.0, 283.0]","[0.857142857, 0.142857143]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.758958,log Conductivity,S/cm,353.19701577,"[336.0, 283.0]","[0.857142857, 0.142857143]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.884365,log Conductivity,S/cm,343.27161881999996,"[336.0, 283.0]","[0.857142857, 0.142857143]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-7.252443,log Conductivity,S/cm,332.77958809999996,"[336.0, 283.0]","[0.857142857, 0.142857143]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-8.050489,log Conductivity,S/cm,322.9099091,"[336.0, 283.0]","[0.857142857, 0.142857143]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-8.552117,log Conductivity,S/cm,312.24025514,"[336.0, 283.0]","[0.857142857, 0.142857143]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-9.030945,log Conductivity,S/cm,302.80127516,"[336.0, 283.0]","[0.857142857, 0.142857143]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-9.452769,log Conductivity,S/cm,292.54282021999995,"[336.0, 283.0]","[0.857142857, 0.142857143]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.1354,log Conductivity,S/cm,403.24743219999993,"[336.0, 283.0]","[0.888888889, 0.111111111]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.192496,log Conductivity,S/cm,394.04674179999995,"[336.0, 283.0]","[0.888888889, 0.111111111]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.295269,log Conductivity,S/cm,383.19300169999997,"[336.0, 283.0]","[0.888888889, 0.111111111]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.375204,log Conductivity,S/cm,372.92129011,"[336.0, 283.0]","[0.888888889, 0.111111111]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.443719,log Conductivity,S/cm,363.44948451999994,"[336.0, 283.0]","[0.888888889, 0.111111111]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.557912,log Conductivity,S/cm,353.4461887,"[336.0, 283.0]","[0.888888889, 0.111111111]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.660685,log Conductivity,S/cm,343.74289955999996,"[336.0, 283.0]","[0.888888889, 0.111111111]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-6.814029,log Conductivity,S/cm,333.00088745,"[336.0, 283.0]","[0.888888889, 0.111111111]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-7.522023,log Conductivity,S/cm,322.9099091,"[336.0, 283.0]","[0.888888889, 0.111111111]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-8.047308,log Conductivity,S/cm,313.02078833999997,"[336.0, 283.0]","[0.888888889, 0.111111111]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-8.526917,log Conductivity,S/cm,303.16792289,"[336.0, 283.0]","[0.888888889, 0.111111111]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-9.052202,log Conductivity,S/cm,292.88503178999997,"[336.0, 283.0]","[0.888888889, 0.111111111]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.234528,log Conductivity,S/cm,275.629602,"[336.0, 283.0]","[0.909090909, 0.090909091]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.302932,log Conductivity,S/cm,275.695274,"[336.0, 283.0]","[0.909090909, 0.090909091]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.519544,log Conductivity,S/cm,275.760945,"[336.0, 283.0]","[0.909090909, 0.090909091]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.587948,log Conductivity,S/cm,275.832587,"[336.0, 283.0]","[0.909090909, 0.090909091]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.656352,log Conductivity,S/cm,275.90621899999996,"[336.0, 283.0]","[0.909090909, 0.090909091]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.781759,log Conductivity,S/cm,275.981841,"[336.0, 283.0]","[0.909090909, 0.090909091]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.907166,log Conductivity,S/cm,276.063433,"[336.0, 283.0]","[0.909090909, 0.090909091]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-7.355049,log Conductivity,S/cm,276.16094499999997,"[336.0, 283.0]","[0.909090909, 0.090909091]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-8.312704,log Conductivity,S/cm,276.24850699999996,"[336.0, 283.0]","[0.909090909, 0.090909091]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-8.905537,log Conductivity,S/cm,276.34601999999995,"[336.0, 283.0]","[0.909090909, 0.090909091]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-9.464169,log Conductivity,S/cm,276.45149299999997,"[336.0, 283.0]","[0.909090909, 0.090909091]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.382736,log Conductivity,S/cm,402.9450447,"[336.0, 283.0]","[0.933333333, 0.066666667]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.382736,log Conductivity,S/cm,392.84781269999996,"[336.0, 283.0]","[0.933333333, 0.066666667]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.587948,log Conductivity,S/cm,383.2442546,"[336.0, 283.0]","[0.933333333, 0.066666667]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.713355,log Conductivity,S/cm,372.70932846999995,"[336.0, 283.0]","[0.933333333, 0.066666667]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.770358,log Conductivity,S/cm,362.73796064,"[336.0, 283.0]","[0.933333333, 0.066666667]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.895765,log Conductivity,S/cm,353.28635801999997,"[336.0, 283.0]","[0.933333333, 0.066666667]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-5.998371,log Conductivity,S/cm,343.37216186,"[336.0, 283.0]","[0.933333333, 0.066666667]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-7.275244,log Conductivity,S/cm,332.67021071,"[336.0, 283.0]","[0.933333333, 0.066666667]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-8.050489,log Conductivity,S/cm,322.40789693,"[336.0, 283.0]","[0.933333333, 0.066666667]","[44.02238095, 106.9770047]"
600000.0,5990.712263,,,-8.666124,log Conductivity,S/cm,312.7597861,"[336.0, 283.0]","[0.933333333, 0.066666667]","[44.02238095, 106.9770047]"
